Artigo,Descricao,Unidade,STKActual,Moeda,PVP1,PCMedio,PCUltimo,DataUltEntrada,DataUltSaida,Familia,PVP_REF_Mercado
10,Diversos,UN,0.0,EUR,0.0,250.62,150.0,2019-08-21,2019-09-17,7,NULL
10000001,FERRO C/ DEFEITO (SUCATA),KG,0.0,EUR,0.0,0.3,0.3,2024-05-09,2024-05-09,7,NULL
10000002,"ARAME P/ ATAR C/5,5mm",KG,5600.0,EUR,0.2,0.89054,0.8,2024-02-14,2023-07-01,7,NULL
10000003,"BOBINES FIO MAQ. DIAM 5,5mm",KG,0.0,EUR,0.0,0.0,0.0,1900-01-01,1900-01-01,62,NULL
10000004,CALANDRAGEM DE PERFIS (NÃO UTILIZAR),UN,0.0,EUR,30.0,0.0,0.0,1900-01-01,1900-01-01,PS,NULL
10000005,CALANDRAGEM DE TUBOS(NÃO UTILIZAR),UN,0.0,EUR,0.0,0.0,0.0,1900-01-01,1900-01-01,PS,NULL
10023506,VARAO LISO A 235 NL  6,KG,724.5,EUR,1.16,0.69602,0.695,2024-04-05,2024-06-14,12,NULL
10023508,VARAO LISO A 235 NL  8,KG,2628.0,EUR,1.07,0.69269,0.69,2024-06-06,2024-06-12,12,NULL
10023510,VARAO LISO A 235 NL 10,KG,282.0,EUR,1.04,0.67521,0.68,2024-05-10,2024-06-14,12,NULL
10023512,VARAO LISO A 235 NL 12,KG,3512.0,EUR,1.02,0.66598,0.67,2024-05-10,2024-06-14,12,NULL
10023514,VARAO LISO A 235 NL 14,KG,0.0,EUR,1.02,0.0,0.0,1900-01-01,1900-01-01,12,NULL
10023516,VARAO LISO A 235 NL 16,KG,354.0,EUR,1.01,0.66535,0.66,2024-04-30,2024-06-12,12,NULL
10023520,VARAO LISO A 235 NL 20,KG,2112.0,EUR,1.01,0.66271,0.66,2024-04-30,2024-06-14,12,NULL
10023525,VARAO LISO A 235 NL 25,KG,1121.0,EUR,1.01,0.68116,0.68,2024-02-23,2024-06-11,12,NULL
10023530,VARAO LISO A 235 NL 30,KG,1428.0,EUR,1.05,0.67363,0.67,2023-11-30,2024-06-13,12,NULL
10023532,VARAO LISO A 235 NL 32,KG,1992.0,EUR,1.05,0.68979,0.69,2024-01-26,2024-05-13,12,NULL
10023540,VARAO LISO A 235 NL 40,KG,2028.0,EUR,1.01,0.661,0.66,2024-04-30,2024-05-31,12,NULL
10023545,VARAO LISO A 235 NL 45,KG,0.0,EUR,1.33,0.0,0.0,1900-01-01,1900-01-01,12,NULL
10023550,VARAO LISO A 235 NL 50,KG,0.0,EUR,1.33,0.73,0.73,2023-08-01,2023-08-03,12,NULL
10023555,VARAO LISO A 235 NL 55,KG,0.0,EUR,1.33,0.0,0.0,1900-01-01,1900-01-01,12,NULL
10023560,VARAO LISO A 235 NL 60,KG,0.0,EUR,1.33,0.0,0.0,1900-01-01,1900-01-01,12,NULL
10023565,VARAO LISO A 235 NL 65,KG,0.0,EUR,1.33,0.0,0.0,1900-01-01,1900-01-01,12,NULL
10023570,VARÃO LISO A 235 NL 70,KG,0.0,EUR,1.0,0.0,0.0,1900-01-01,1900-01-01,12,NULL
10023575,VARAO LISO A 235 NL 75,KG,0.0,EUR,1.0,0.0,0.0,1900-01-01,1900-01-01,12,NULL
10023580,VARÃO LISO A 235 NL 80,KG,0.0,EUR,1.0,0.995,0.995,2022-01-27,2022-01-28,12,NULL
10023590,VARAO LISO A 235 NL 100,KG,0.0,EUR,1.0,0.0,0.0,1900-01-01,1900-01-01,12,NULL
10040006,VARAO NERV A 400 NR  6,KG,35073.0,EUR,1.335,0.69802,0.725,2024-03-07,2024-06-13,1,NULL
10040008,VARAO NERV A 400 NR  8,KG,40686.0,EUR,1.07,0.64842,0.6539996122,2023-11-24,2024-06-13,11,NULL
10040010,VARAO NERV A 400 NR 10,KG,76072.0,EUR,1.035,0.6223,0.6130013642,2024-05-10,2024-06-13,11,NULL
10040012,VARAO NERV A 400 NR 12,KG,34244.0,EUR,1.015,0.60907,0.61,2024-05-10,2024-06-13,11,NULL
